Temp pH Cond Ca Mg Na K AlkAcid SO4_IC Cl NO2NO3N Tot.N_ps TotP AbsF420nm TOC Si
4.4 7.15 7.49 0.262 0.201 0.231 0.031 0.344 0.132 0.193 105 591 22 0.042 7.8 1.09
3.8 7.49 10.6 0.477 0.275 0.243 0.049 0.478 0.276 0.241 70 321 29 0.045 7.1 1.17
5.4 7.46 13.5 0.742 0.278 0.322 0.051 0.698 0.251 0.334 209 569 42 0.154 11 3.54
5.5 7.52 15.4 0.872 0.24 0.44 0.04 0.961 0.165 0.415 31 678 37 0.037 10.3 0.96
3.8 7.6 13.7 0.72 0.41 0.259 0.045 0.868 0.261 0.242 34 648 24 0.054 8.3 1.37
4 7.67 16.2 0.733 0.512 0.392 0.058 1.058 0.197 0.398 88 653 34 0.027 8.1 1.19
2.7 6.77 16.7 0.379 0.224 0.923 0.024 0.273 0.125 1.109 79 511 29 0.209 13.6 3.42
5.8 7.32 9.18 0.471 0.173 0.216 0.027 0.383 0.246 0.213 39 350 23 0.025 5.4 1.42
2.9 6.59 3.64 0.161 0.066 0.095 0.007 0.064 0.108 0.071 7 288 8 0.07 8 0.19
1.8 7.29 17.9 0.714 0.323 0.666 0.051 0.696 0.217 0.808 16 654 24 0.116 10.9 1.7
3 7.31 8.1 0.466 0.151 0.14 0.019 0.361 0.277 0.099 20 574 20 0.029 6.4 1.96
3.8 5.49 2.18 0.09 0.036 0.067 0.006 0 0.056 0.061 40 386 14 0.263 12.3 2.23
2.3 7.66 27.7 1.164 0.409 1.066 0.063 1.087 0.377 1.312 45 734 30 0.042 9.6 2.65
2.9 7.35 7.65 0.666 0.094 0.08 0.008 0.519 0.083 0.067 60 561 10 0.368 18.1 2.6
3.6 7.31 7 0.338 0.153 0.161 0.024 0.259 0.202 0.129 1 339 13 0.027 4.8 0.36
3.8 7 13.6 0.854 0.242 0.283 0.042 0.651 0.335 0.275 208 929 54 0.333 15.9 4.27
4.3 7.19 10.7 0.491 0.157 0.363 0.031 0.331 0.204 0.419 74 647 25 0.118 10.8 1.51
2.2 7.26 7.84 0.433 0.146 0.205 0.023 0.476 0.095 0.16 59 469 23 0.089 9.4 1.15
5.1 7.69 33.2 1.51 0.392 1.219 0.076 1.212 0.63 1.435 93 959 54 0.035 7.1 1.13
3.8 7.54 24.9 1.224 0.382 0.774 0.066 0.973 0.581 0.884 129 562 33 0.042 7.5 1.06
3.7 7.38 18.6 0.843 0.344 0.562 0.053 0.661 0.43 0.644 80 523 22 0.048 6.3 0.61
5.2 7.68 33.4 1.615 0.49 1.166 0.082 1.382 0.585 1.404 170 597 21 0.03 5.9 0.75
3.1 7.18 5.9 0.334 0.108 0.125 0.014 0.213 0.155 0.108 6 411 9 0.056 7.2 0.32
3.4 7.27 28.4 1.376 0.395 0.874 0.108 1.178 0.596 1.064 79 615 60 0.065 9 2.08
5.3 7.52 29.9 1.421 0.401 1.053 0.071 1.225 0.573 1.187 109 726 80 0.049 8.2 1.4
4.8 7.71 31.7 1.491 0.472 1.077 0.082 1.282 0.604 1.061 136 369 26 0.029 5.7 0.63
5.5 7.75 23.5 1.311 0.409 0.629 0.066 1.272 0.43 0.66 63 524 36 0.019 5.4 0.77
3.4 7.53 17 1.167 0.258 0.378 0.046 1.301 0.118 0.301 19 537 30 0.064 10.3 0.51
2.7 7.93 33.6 2.529 0.538 0.622 0.086 2.982 0.213 0.436 82 518 21 0.068 10 0.65
2.4 7.48 66.9 2.781 0.865 2.738 0.161 3.543 0.062 3.046 8 729 73 0.075 15 1.02
1.3 7.92 57.5 2.92 0.715 1.959 0.212 2.923 0.784 2.321 69 679 86 0.043 6.9 1.27
2.8 7.63 29.2 1.962 0.355 0.751 0.076 1.796 0.475 0.809 72 391 28 0.079 10 2.54
1.6 7.74 32.5 2.184 0.536 0.719 0.095 2.019 0.678 0.665 212 689 47 0.1 13 2.24
